BillToName," Actuals
k Local
FY25 YTD "," Actuals
k Local
FY24 "," Actuals
k Sqm
FY25 YTD "," Actuals
k Sqm
FY24 "," Budget
k Local
FY25 YTD "," Budget
k Sqm
FY24 ",Avg AV% FY25,Avg GM% FY25,Avg AV% Budget,Avg GM% Budget
AF Sligo IE-Sligo," 2,622,597 "," 3,097,967 "," 4,525,171 "," 4,159,446 "," 3,080,132 ",,40.72%,28.84%,52.17%,38.16%
AF Singapore SG-Singapore," 2,512,780 "," 1,134,497 "," 6,211,220 "," 2,967,373 "," 3,391,477 ",,54.64%,43.92%,52.17%,38.16%
"Hollister Inc US-Libertyville, IL"," 1,887,906 "," 307,334 "," 2,785,668 "," 441,496 "," 1,614,538 ",,49.49%,34.72%,52.17%,38.16%
Arla Foods Amba DK-Viby J," 1,598,768 "," 1,524,518 "," 2,069,382 "," 1,859,063 "," 1,872,958 ",,46.89%,36.36%,52.17%,38.16%
Hollister IE-Ballina," 1,529,461 "," 722,834 "," 2,258,656 "," 1,059,050 "," 2,072,688 ",,49.03%,34.98%,52.17%,38.16%
Becton Dickinson ES-Fraga Huesca," 1,192,590 "," 1,062,526 "," 4,965,014 "," 4,192,305 "," 4,632,000 ",,52.40%,36.14%,52.17%,38.16%
MM GRAPHIA INNOVAPRINT GMBH," 1,179,644 "," 965,771 "," 1,709,001 "," 1,400,306 "," 2,268,000 ",,65.35%,56.57%,52.17%,38.16%
Smith & Nephew Medical (Suzhou) Ltd," 1,173,564 "," 1,469,402 "," 1,897,625 "," 2,168,484 "," 2,568,622 ",,66.12%,51.35%,52.17%,38.16%
CAIR TUNISIE," 956,633 "," 548,703 "," 1,621,320 "," 896,665 "," 980,000 ",,66.42%,54.79%,52.17%,38.16%
AGUETTANT MOUVAUX," 939,355 "," 1,166,369 "," 1,956,985 "," 2,414,111 "," 1,352,449 ",,43.30%,26.82%,52.17%,38.16%
Mölnlycke Health Care FI-Mikkeli," 928,426 "," 1,091,235 "," 2,505,216 "," 2,621,742 "," 2,193,383 ",,54.90%,40.21%,52.17%,38.16%
Smith & Nephew Medical GB-Hull," 820,025 "," 944,578 "," 1,451,374 "," 1,564,385 "," 1,485,993 ",,56.53%,44.51%,52.17%,38.16%
STERILERIGHT," 788,404 "," 740,409 "," 657,037 "," 596,653 "," 355,767 ",,2.21%,-7.06%,52.17%,38.16%
AMCOR SHANGHAI," 781,702 "," 919,851 "," 573,643 "," 717,123 "," 500,000 ",,12.08%,5.94%,52.17%,38.16%
Wellspect AB," 776,815 "," 665,937 "," 1,404,005 "," 1,054,032 "," 1,825,048 ",,57.88%,50.20%,52.17%,38.16%
Mölnlycke Health Care (Thailand) Lt," 772,220 "," 877,368 "," 1,697,786 "," 1,876,929 "," 1,287,856 ",,45.26%,29.89%,52.17%,38.16%
Glaxo SMITHKLINE," 689,180 ", -   ," 300,104 ", -   , -   ,,22.12%,4.16%,52.17%,38.16%
Almo Erzeugnisse DE-Arolsen," 685,021 "," 719,318 "," 2,726,085 "," 2,649,764 "," 3,430,000 ",,33.69%,20.81%,52.17%,38.16%
YONG BEE TRADING CORP.," 676,021 "," 1,141,724 "," 344,001 "," 542,191 "," 382,354 ",,15.34%,9.82%,52.17%,38.16%
AF Burgdorf CH-Burgdorf," 553,034 "," 2,229,382 "," 875,125 "," 3,597,298 "," 1,472,148 ",,71.38%,62.78%,52.17%,38.16%
Adapa Netherlands," 551,588 "," 665,381 "," 1,236,953 "," 1,432,393 "," 1,400,000 ",,44.56%,19.76%,52.17%,38.16%
Scapa Healthcare Gargrave," 548,544 "," 119,939 "," 947,112 "," 217,949 "," 687,975 ",,35.07%,28.19%,52.17%,38.16%
HOLLISTER LIETUVA UAB," 530,219 "," 180,439 "," 791,878 "," 254,129 "," 1,080,832 ",,50.55%,34.68%,52.17%,38.16%
BEMIS FLEXIBLE PACKAGING (SUZHOU)," 511,955 ",-24 ," 462,383 ", -   , -   ,,13.92%,8.16%,52.17%,38.16%
"Plasticos y Materias Primas MX-Guadalajara, JAL"," 502,117 "," 434,065 "," 2,109,748 "," 1,755,406 "," 1,685,403 ",,49.55%,31.45%,52.17%,38.16%
Becton Dickinson de Mexico," 427,003 "," 177,254 "," 1,094,117 "," 248,570 ", -   ,,40.61%,26.71%,52.17%,38.16%
AF Cambe - BR," 423,668 "," 711,211 "," 991,746 "," 1,936,951 "," 989,144 ",,39.47%,20.61%,52.17%,38.16%
SIMPLIVIA HEALTHCARE LTD 1009226," 386,058 "," 117,721 "," 191,820 "," 58,023 "," 188,025 ",,23.57%,19.01%,52.17%,38.16%
Nutricia Pharmaceutical CN-Jiangsu," 344,717 "," 368,132 "," 793,739 "," 845,550 "," 1,002,073 ",,57.82%,47.35%,52.17%,38.16%
AMCOR FLEXIBLES NORTH AMERICA," 336,556 "," 224,082 "," 372,831 "," 265,245 "," 2,017 ",,81.63%,75.09%,52.17%,38.16%
Covidien IT-Mirandola," 321,928 "," 238,166 "," 387,596 "," 285,774 "," 382,484 ",,57.17%,39.05%,52.17%,38.16%
HOPEWAY BV," 315,815 "," 219,730 "," 200,876 "," 109,574 "," 400,000 ",,34.95%,33.41%,52.17%,38.16%
Cardinal Health Tullamore," 312,796 "," 212,829 "," 644,735 "," 369,352 "," 511,714 ",,57.16%,44.59%,52.17%,38.16%
